time,frequency,confidence
0.000,638.266,0.073877
0.004,637.090,0.101035
0.008,637.933,0.069964
0.012,639.195,0.027578
0.016,639.053,0.008220
0.020,637.834,0.009375
0.024,636.958,0.011172
0.028,644.926,0.021371
0.032,634.020,0.032784
0.036,591.022,0.030489
0.040,590.616,0.018198
0.044,593.695,0.016723
0.048,599.456,0.261269
0.052,603.955,0.417440
0.056,613.295,0.290377
0.060,624.162,0.312191
0.064,623.866,0.265099
0.068,623.797,0.498339
0.072,625.782,0.396081
0.076,627.418,0.298488
0.080,627.172,0.148400
0.084,630.421,0.038748
0.088,626.629,0.063818
0.092,620.047,0.048585
0.096,621.586,0.075129
0.100,624.753,0.080083
0.104,625.546,0.092411
0.108,626.048,0.069591
0.112,633.961,0.069272
0.116,632.519,0.068195
0.120,624.222,0.093219
0.124,625.222,0.076851
0.128,657.327,0.068028
0.132,645.502,0.089855
0.136,646.397,0.079789
0.140,647.435,0.080102
0.144,647.706,0.092431
0.148,647.585,0.089405
0.152,651.226,0.098407
0.156,649.436,0.092556
0.160,649.415,0.088370
0.164,655.583,0.077170
0.168,657.033,0.093625
0.172,658.686,0.102626
0.176,659.758,0.080725
0.180,659.891,0.053205
0.184,658.138,0.037557
0.188,656.742,0.050484
0.192,638.296,0.096721
0.196,646.037,0.119483
0.200,644.473,0.110224
0.204,643.744,0.097081
0.208,642.993,0.072083
0.212,644.317,0.082404
0.216,651.134,0.102798
0.220,660.113,0.081238
0.224,701.139,0.081762
0.228,745.848,0.063225
0.232,835.086,0.066817
0.236,898.955,0.096169
0.240,965.187,0.092936
0.244,1044.094,0.062646
0.248,1141.967,0.027698
0.252,1239.813,0.019966
0.256,1237.946,0.023349
0.260,1239.348,0.020631
0.264,1320.417,0.030313
0.268,1295.703,0.032498
0.272,1283.411,0.035052
0.276,1248.380,0.034356
0.280,1186.743,0.042758
0.284,1121.506,0.118851
0.288,1059.706,0.095833
0.292,1030.032,0.043726
0.296,992.228,0.058027
0.300,938.465,0.085823
0.304,891.828,0.085514
0.308,870.867,0.130604
0.312,823.470,0.213048
0.316,778.692,0.222743
0.320,743.073,0.132033
0.324,722.845,0.108841
0.328,708.610,0.081475
0.332,681.288,0.057338
0.336,658.785,0.063196
0.340,658.092,0.067070
0.344,656.913,0.073956
0.348,636.848,0.089779
0.352,645.078,0.079261
0.356,635.122,0.086023
0.360,645.268,0.082185
0.364,617.383,0.096421
0.368,591.152,0.069194
0.372,596.157,0.065580
0.376,597.113,0.063966
0.380,604.570,0.054295
0.384,618.034,0.080874
0.388,632.461,0.084926
0.392,645.362,0.091800
0.396,658.093,0.074991
0.400,655.994,0.024714
0.404,649.074,0.009840
0.408,641.562,0.029679
0.412,633.053,0.124512
0.416,634.428,0.080342
0.420,634.088,0.027679
0.424,635.806,0.015057
0.428,635.162,0.008397
0.432,636.665,0.017216
0.436,634.708,0.073600
0.440,634.299,0.121921
0.444,634.815,0.114003
0.448,645.341,0.113067
0.452,645.694,0.111477
0.456,645.152,0.135552
0.460,645.721,0.146065
0.464,647.168,0.148738
0.468,659.024,0.100067
0.472,590.886,0.065310
0.476,591.035,0.046302
0.480,595.597,0.031821
0.484,596.375,0.043641
0.488,596.681,0.023408
0.492,593.537,0.023790
0.496,592.180,0.033348
0.500,593.438,0.041979
0.504,597.688,0.054701
0.508,598.736,0.156264
0.512,594.709,0.093463
0.516,594.499,0.033830
0.520,596.001,0.081945
0.524,598.770,0.073135
0.528,607.328,0.031297
0.532,616.379,0.013815
0.536,629.206,0.005693
0.540,635.888,0.005295
0.544,637.250,0.025728
