time,frequency,confidence
0.000,32.260,0.012728
0.004,32.387,0.033720
0.008,32.514,0.043464
0.012,32.510,0.071168
0.016,32.551,0.097784
0.020,32.582,0.090655
0.024,32.527,0.070634
0.028,32.502,0.072668
0.032,32.436,0.048756
0.036,32.368,0.012154
0.040,32.375,0.006963
0.044,32.590,0.012439
0.048,32.586,0.034304
0.052,33.005,0.048331
0.056,32.773,0.125906
0.060,32.837,0.330494
0.064,32.716,0.244828
0.068,32.252,0.205282
0.072,32.220,0.159039
0.076,32.203,0.084036
0.080,32.620,0.021512
0.084,36.000,0.039837
0.088,40.877,0.052568
0.092,45.526,0.035724
0.096,51.665,0.050597
0.100,57.765,0.118943
0.104,64.468,0.156893
0.108,74.437,0.118135
0.112,83.362,0.077626
0.116,83.092,0.095917
0.120,83.333,0.106466
0.124,82.919,0.195716
0.128,82.884,0.206804
0.132,83.039,0.247995
0.136,82.625,0.159905
0.140,81.852,0.086041
0.144,81.432,0.077150
0.148,82.190,0.084664
0.152,82.361,0.085601
0.156,82.612,0.106412
0.160,82.717,0.136819
0.164,83.582,0.114928
0.168,86.523,0.081055
0.172,91.722,0.087082
0.176,97.172,0.071963
0.180,101.715,0.048801
0.184,107.088,0.048841
0.188,114.301,0.071663
0.192,123.468,0.052543
0.196,128.239,0.057198
0.200,128.269,0.041611
0.204,128.191,0.085940
0.208,127.021,0.059916
0.212,124.282,0.096564
0.216,123.529,0.176191
0.220,122.857,0.159456
0.224,122.822,0.140040
0.228,123.504,0.078683
0.232,123.446,0.039109
0.236,123.658,0.032093
0.240,115.776,0.036816
0.244,105.218,0.036120
0.248,98.739,0.049740
0.252,88.632,0.045989
0.256,84.742,0.037988
0.260,84.726,0.109934
0.264,84.874,0.087895
0.268,84.948,0.042008
0.272,84.785,0.013518
0.276,84.629,0.013924
0.280,84.527,0.012469
0.284,84.498,0.013043
0.288,84.708,0.027361
0.292,84.823,0.034582
0.296,85.030,0.033241
0.300,85.053,0.022834
0.304,84.879,0.046506
0.308,84.908,0.080655
0.312,84.911,0.089250
0.316,84.780,0.077913
0.320,85.317,0.122377
0.324,85.272,0.156078
0.328,85.115,0.161042
0.332,85.063,0.126246
0.336,95.428,0.133839
0.340,103.735,0.100672
0.344,116.272,0.052609
0.348,130.216,0.058515
0.352,143.577,0.059519
0.356,159.154,0.059203
0.360,177.528,0.132740
0.364,199.682,0.067769
0.368,223.743,0.123832
0.372,253.791,0.265437
0.376,251.613,0.197667
0.380,251.397,0.470444
0.384,249.774,0.437591
0.388,251.302,0.519643
0.392,250.117,0.101168
0.396,249.206,0.048217
0.400,249.212,0.026087
0.404,250.192,0.012812
0.408,249.477,0.023977
0.412,249.131,0.017890
0.416,248.702,0.025489
0.420,248.323,0.037173
0.424,247.640,0.043195
0.428,246.232,0.042599
0.432,245.391,0.048409
0.436,244.403,0.078094
0.440,244.324,0.112174
0.444,244.059,0.100455
0.448,244.244,0.085689
