time,frequency,confidence
0.000,235.649,0.070004
0.004,234.721,0.019171
0.008,233.219,0.011224
0.012,231.365,0.007581
0.016,233.437,0.007933
0.020,252.203,0.014539
0.024,285.175,0.027890
0.028,308.352,0.062713
0.032,298.938,0.054511
0.036,290.044,0.071295
0.040,289.351,0.084108
0.044,288.511,0.098608
0.048,288.699,0.093091
0.052,288.873,0.107080
0.056,289.092,0.087339
0.060,288.392,0.118819
0.064,287.987,0.192122
0.068,288.382,0.236873
0.072,290.930,0.222638
0.076,291.693,0.171765
0.080,315.958,0.110759
0.084,356.831,0.076447
0.088,399.109,0.023783
0.092,449.340,0.025080
0.096,499.471,0.018234
0.100,566.515,0.030802
0.104,636.698,0.057003
0.108,635.152,0.090786
0.112,633.685,0.101586
0.116,631.945,0.098103
0.120,644.283,0.087533
0.124,595.992,0.066116
0.128,596.159,0.084609
0.132,596.673,0.091308
0.136,596.639,0.082933
0.140,598.089,0.085967
0.144,598.401,0.085589
0.148,598.553,0.094236
0.152,623.539,0.108321
0.156,623.816,0.085844
0.160,624.692,0.033770
0.164,626.712,0.024847
0.168,626.453,0.031377
0.172,624.496,0.038777
0.176,624.024,0.042093
0.180,622.534,0.027400
0.184,625.004,0.009566
0.188,626.932,0.012359
0.192,626.366,0.037436
0.196,625.375,0.054719
0.200,628.191,0.060868
0.204,629.572,0.057597
0.208,634.208,0.077836
0.212,634.432,0.093567
0.216,633.545,0.096690
0.220,597.676,0.091754
0.224,598.209,0.081155
0.228,598.043,0.074525
0.232,598.532,0.072505
0.236,598.035,0.056604
0.240,597.966,0.066642
0.244,596.174,0.064268
0.248,594.865,0.068628
0.252,595.424,0.043824
0.256,597.924,0.030320
0.260,603.972,0.058438
0.264,612.603,0.075139
0.268,621.456,0.037105
0.272,628.099,0.034452
0.276,631.837,0.054378
0.280,636.147,0.083382
0.284,641.078,0.049006
0.288,645.060,0.061987
0.292,645.022,0.078941
0.296,645.191,0.071111
0.300,598.026,0.076169
0.304,656.158,0.078521
0.308,661.764,0.074675
0.312,668.163,0.083288
0.316,675.929,0.089780
0.320,686.876,0.087413
0.324,700.316,0.095459
0.328,709.710,0.041684
0.332,723.274,0.015949
0.336,741.853,0.033293
0.340,761.365,0.506737
0.344,780.969,0.342806
0.348,808.640,0.270490
0.352,827.744,0.020242
0.356,845.871,0.012960
0.360,870.742,0.076917
