time,frequency,confidence
0.000,96.919,0.039248
0.004,96.919,0.039248
0.008,96.919,0.039248
0.012,96.919,0.039248
0.016,96.919,0.039248
0.020,96.919,0.039248
0.024,96.919,0.039248
0.028,96.919,0.039248
0.032,96.919,0.039248
0.036,96.919,0.039248
0.040,96.919,0.039248
0.044,96.919,0.039248
0.048,96.919,0.039248
0.052,96.919,0.039248
0.056,96.919,0.039248
0.060,96.919,0.039248
0.064,96.919,0.039248
0.068,96.919,0.039248
0.072,96.919,0.039248
0.076,96.919,0.039248
0.080,96.919,0.039248
0.084,96.919,0.039248
0.088,96.919,0.039248
0.092,96.919,0.039248
0.096,96.919,0.039248
0.100,96.919,0.039248
0.104,96.919,0.039248
0.108,96.919,0.039248
0.112,96.919,0.039248
0.116,96.919,0.039248
0.120,96.919,0.039248
0.124,96.919,0.039248
0.128,96.919,0.039248
0.132,96.919,0.039248
0.136,96.919,0.039248
0.140,96.919,0.039248
0.144,96.919,0.039248
0.148,96.919,0.039248
0.152,96.919,0.039248
0.156,96.919,0.039248
0.160,96.919,0.039248
0.164,96.919,0.039248
0.168,96.919,0.039248
0.172,96.919,0.039248
0.176,96.919,0.039248
0.180,96.919,0.039248
0.184,96.919,0.039248
0.188,96.919,0.039248
0.192,96.919,0.039248
0.196,96.919,0.039248
0.200,96.919,0.039248
0.204,96.919,0.039248
0.208,96.919,0.039248
0.212,96.919,0.039248
0.216,96.919,0.039248
0.220,96.919,0.039248
0.224,96.919,0.039248
0.228,96.919,0.039248
0.232,96.919,0.039248
0.236,96.919,0.039248
0.240,96.919,0.039248
0.244,96.919,0.039248
0.248,96.919,0.039248
0.252,96.919,0.039248
0.256,96.919,0.039248
0.260,96.919,0.039248
0.264,96.919,0.039248
0.268,96.919,0.039248
0.272,96.919,0.039248
0.276,96.919,0.039248
0.280,96.919,0.039248
0.284,96.919,0.039248
0.288,96.919,0.039248
0.292,96.919,0.039248
0.296,96.919,0.039248
0.300,96.919,0.039248
0.304,96.919,0.039248
0.308,96.919,0.039248
0.312,96.919,0.039248
0.316,96.919,0.039248
0.320,96.919,0.039248
0.324,96.919,0.039248
0.328,96.919,0.039248
0.332,96.919,0.039248
0.336,96.919,0.039248
0.340,96.919,0.039248
0.344,96.919,0.039248
0.348,96.919,0.039248
0.352,96.919,0.039248
0.356,96.919,0.039248
0.360,96.919,0.039248
0.364,96.919,0.039248
0.368,96.919,0.039248
0.372,96.919,0.039248
0.376,96.919,0.039248
0.380,96.919,0.039248
0.384,96.919,0.039248
0.388,96.919,0.039248
0.392,96.919,0.039248
0.396,96.919,0.039248
0.400,96.919,0.039248
0.404,96.919,0.039248
0.408,96.919,0.039248
0.412,96.919,0.039248
0.416,96.919,0.039248
0.420,96.919,0.039248
0.424,96.919,0.039248
0.428,96.919,0.039248
0.432,96.919,0.039248
0.436,96.919,0.039248
0.440,96.919,0.039248
0.444,96.919,0.039248
0.448,96.919,0.039248
0.452,96.919,0.039248
0.456,96.919,0.039248
0.460,96.919,0.039248
0.464,96.919,0.039248
